ID_DATA;ID_PRODUTO;ID_AGENCIA;ID_CLIENTE;SALDO_DEVEDOR_FINAL;VALOR_VENCIDO_TOTAL;DIAS_EM_ATRASO
2025-01-15 00:00:00;PRC006;AG001SP;CL001284;25928,06;15525,81;18
2025-01-21 00:00:00;PRC007;AG004SUL;CL001530;24145,19;8845,05;75
2025-01-02 00:00:00;PRC004;AG004SUL;CL000265;9091,77;18965,03;117
2025-01-21 00:00:00;PRC007;AG004SUL;CL002991;6343,75;5554,38;99
2025-01-22 00:00:00;PRC004;AG004SUL;CL002505;17295,74;18538,33;151
2025-01-15 00:00:00;PRC006;AG001SP;CL004572;10748,33;17159,1;48
2025-01-21 00:00:00;PRC001;AG004SUL;CL000981;15668;11324,3;143
2025-01-18 00:00:00;PRC005;AG003MG;CL001716;25382,97;1237,71;79
2025-01-14 00:00:00;PRC003;AG004SUL;CL001099;39130,35;2639,31;153
2025-01-09 00:00:00;PRC008;AG003MG;CL002327;6306,7;10263,66;89
2025-01-08 00:00:00;PRC005;AG004SUL;CL000724;35339,04;5187,77;179
2025-01-02 00:00:00;PRC002;AG005NE;CL000156;6012,77;5746,53;29
2025-01-04 00:00:00;PRC007;AG001SP;CL004220;11413,7;17412,68;160
2025-01-14 00:00:00;PRC004;AG003MG;CL002239;31288,96;13876,11;97
2025-01-15 00:00:00;PRC006;AG004SUL;CL004629;25125,62;4171,77;155
2025-01-24 00:00:00;PRC001;AG001SP;CL000460;49097,09;6931,18;78
2025-01-15 00:00:00;PRC007;AG005NE;CL003939;8224,47;3425,9;47
2025-01-09 00:00:00;PRC002;AG005NE;CL003809;20641,61;4930,4;45
2025-01-05 00:00:00;PRC002;AG001SP;CL000840;3698,34;2822,15;43
2025-01-28 00:00:00;PRC005;AG004SUL;CL003918;19133,91;2111,83;99
2025-01-12 00:00:00;PRC001;AG005NE;CL000281;36700,99;10703,05;11
2025-01-01 00:00:00;PRC007;AG004SUL;CL002332;48857,5;10141,65;52
2025-01-05 00:00:00;PRC005;AG002RJ;CL002221;5245,76;12758,04;106
2025-01-27 00:00:00;PRC001;AG005NE;CL004729;27819,22;8687,23;134
2025-01-15 00:00:00;PRC007;AG002RJ;CL004883;29150,94;12375,44;10
2025-01-29 00:00:00;PRC008;AG004SUL;CL003448;29808,45;5071,68;16
2025-01-13 00:00:00;PRC004;AG004SUL;CL001763;46283,56;9844,65;148
2025-01-28 00:00:00;PRC005;AG003MG;CL002270;34820,29;15618,39;120
2025-01-28 00:00:00;PRC002;AG005NE;CL003199;35219,24;5756,63;124
2025-01-28 00:00:00;PRC007;AG001SP;CL004791;18725,66;1865,43;34
2025-01-30 00:00:00;PRC007;AG004SUL;CL001694;29219,49;17791,53;9
2025-01-27 00:00:00;PRC004;AG002RJ;CL000661;22509,33;2867,91;168
2025-01-03 00:00:00;PRC002;AG005NE;CL003941;46958,95;18861,24;144
2025-01-12 00:00:00;PRC007;AG004SUL;CL002380;36313,72;11882,84;120
2025-01-02 00:00:00;PRC002;AG001SP;CL004601;4306,64;13456,94;5
2025-01-24 00:00:00;PRC003;AG001SP;CL002395;40936,64;2549,71;9
2025-01-03 00:00:00;PRC001;AG001SP;CL004358;10845,68;6157,73;19
2025-01-11 00:00:00;PRC002;AG005NE;CL002097;49384,21;18054,11;121
2025-01-07 00:00:00;PRC007;AG001SP;CL001160;10390,25;16268,69;37
2025-01-02 00:00:00;PRC005;AG002RJ;CL003829;1846,89;12898,06;69
2025-01-09 00:00:00;PRC002;AG002RJ;CL001801;41698,79;6454,53;32
2025-01-21 00:00:00;PRC001;AG003MG;CL003373;41341,76;9529,23;160
2025-01-22 00:00:00;PRC003;AG005NE;CL004034;41423,03;5134,87;171
